sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-14 13:21:32.000 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 54096985, 1.0107805728912354, -0.2989141345024109, -78.44480895996094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 54113652, 1.016073226928711, -0.2840406894683838, -78.45037078857422, 0.05159394443035126, 0.176761195063591, 9.212763786315918, -0.004930444527417421, 0.07456497102975845, 0.2663528621196747, 
2, 54130319, 1.028290033340454, -0.28143763542175293, -78.40343475341797, 0.05141155421733856, 0.17216219007968903, 9.172481536865234, -0.05081559345126152, 0.07047974318265915, 0.24011263251304626, 
3, 54146986, 1.0391411781311035, -0.28268933296203613, -78.39303588867188, 0.05947590246796608, 0.18025872111320496, 9.162418365478516, 0.08110901713371277, 0.09504232555627823, 0.23194220662117004, 
4, 54163653, 1.0490597486495972, -0.28722822666168213, -78.35514068603516, 0.05374324321746826, 0.18414248526096344, 9.182559967041016, -0.02786661498248577, 0.14424431324005127, 0.2253725230693817, 
5, 54180320, 1.0587621927261353, -0.2904098927974701, -78.34302520751953, 0.03414206951856613, 0.1740001142024994, 9.175228118896484, -0.009015670046210289, 0.154886394739151, 0.3327409327030182, 
6, 54196987, 1.0666619539260864, -0.2891443371772766, -78.30281066894531, 0.044727399945259094, 0.16389723122119904, 9.166996002197266, 0.07785619795322418, 0.11961770802736282, 0.2876626253128052, 
7, 54213654, 1.0705397129058838, -0.2883470356464386, -78.26008605957031, 0.051740407943725586, 0.1586010605096817, 9.175235748291016, 0.05816003680229187, 0.059786438941955566, 0.27536851167678833, 
8, 54230321, 1.0696572065353394, -0.2883761525154114, -78.22193908691406, 0.05067156255245209, 0.15143075585365295, 9.179816246032715, -0.06641372293233871, 0.04181913658976555, 0.2040499895811081, 
9, 54246988, 1.0688395500183105, -0.2875090539455414, -78.23051452636719, 0.04323992133140564, 0.15217119455337524, 9.19262981414795, 0.06554930657148361, 0.1163392961025238, 0.2753685414791107, 
10, 54263655, 1.0670276880264282, -0.2867952287197113, -78.20809936523438, 0.051200561225414276, 0.16515283286571503, 9.167911529541016, 0.06963451951742172, 0.07208053767681122, 0.28110578656196594, 
11, 54280322, 1.0639739036560059, -0.2870379388332367, -78.20962524414062, 0.046447694301605225, 0.16900087893009186, 9.16607666015625, -0.03200305998325348, 0.029512230306863785, 0.23683422803878784, 
12, 54296989, 1.0617750883102417, -0.2855358123779297, -78.19782257080078, 0.055542074143886566, 0.18172140419483185, 9.19262981414795, -0.013920503668487072, 0.12457378208637238, 0.23356862366199493, 
13, 54313656, 1.0605683326721191, -0.2845214307308197, -78.17412567138672, 0.04971996322274208, 0.1688651740550995, 9.180728912353516, -0.017211733385920525, 0.11555808782577515, 0.23029018938541412, 
14, 54330323, 1.0601367950439453, -0.28384286165237427, -78.14395904541016, 0.03752514347434044, 0.1724947839975357, 9.18072509765625, 0.019664151594042778, 0.09422271698713303, 0.23602740466594696, 
15, 54346990, 1.0609177350997925, -0.282632976770401, -78.16123962402344, 0.04004279151558876, 0.1743687093257904, 9.156925201416016, 0.07538457214832306, 0.09665592014789581, 0.28111857175827026, 
16, 54363657, 1.0605039596557617, -0.28207871317863464, -78.15469360351562, 0.05075714364647865, 0.16815315186977386, 9.20637035369873, -0.010706108994781971, 0.04262593761086464, 0.2688117027282715, 
17, 54380324, 1.0618212223052979, -0.28078654408454895, -78.16860961914062, 0.04883310943841934, 0.16994494199752808, 9.18256664276123, 0.09342872351408005, 0.09582351893186569, 0.2696569263935089, 
18, 54396991, 1.061842679977417, -0.2800854444503784, -78.23794555664062, 0.04582909494638443, 0.16928334534168243, 9.20910930633545, 0.013914098963141441, 0.063090480864048, 0.19176866114139557, 
19, 54413658, 1.0619328022003174, -0.2786981165409088, -78.23479461669922, 0.044770482927560806, 0.17572732269763947, 9.201784133911133, 0.0188701543956995, 0.09997276216745377, 0.1565256118774414, 
20, 54430325, 1.0608501434326172, -0.27677401900291443, -78.24261474609375, 0.035354387015104294, 0.1712145060300827, 9.193538665771484, -0.060612455010414124, 0.13036222755908966, 0.17780974507331848, 
21, 54446992, 1.062901496887207, -0.276195764541626, -78.19871520996094, 0.04507053643465042, 0.15912680327892303, 9.18348217010498, 0.12536773085594177, 0.03676062077283859, 0.15738362073898315, 
22, 54463659, 1.0629101991653442, -0.2757337987422943, -78.19384002685547, 0.051386576145887375, 0.1621989905834198, 9.189887046813965, 0.013875682838261127, 0.031138643622398376, 0.20980004966259003, 
